Episod,NumberCollisionAgentObstacles,NumberOfCollisionTrashObstacles,NumberOfStepsForToFinishEpisod,FinalReward,FinishEpisod,NumberOfCondition,ShortRoadCorrect
1,0,2,974,38.96068,True,4,True
2,0,0,596,39.99195,True,4,True
